M4id,category,Chronos,time,Dec-transformer,Dec-time,TimeGpt
Q11846,Demographic,0.221,0.57,0.125,201.94,0.144
Q11974,Demographic,0.267,0.51,0.204,46.40,0.16
Q12170,Demographic,0.017,0.52,0.099,66.97,0.017
Q12673,Demographic,0.118,0.55,0.072,63.42,0.183
Q13050,Demographic,0.017,3.67,0.076,251.36,0.009
Q18638,Finance,0.449,0.68,0.122,108.22,0.317
Q20501,Finance,0.036,0.54,0.039,26.41,0.041
Q19518,Finance,0.179,0.55,0.121,108.46,0.086
Q18530,Finance,0.069,0.53,0.057,19.93,0.073
Q22221,Finance,0.009,3.55,0.016,144.28,0.007
Q15208,Industry,0.055,0.69,0.022,35.73,0.031
Q16120,Industry,0.026,0.95,0.036,40.79,0.025
Q16176,Industry,0.096,1.47,0.079,35.93,0.091
Q14989,Industry,0.187,0.82,0.073,46.13,0.213
Q15697,Industry,0.018,3.85,0.029,143.97,0.019
Q1988,Macro,0.164,0.7,0.187,142.46,0.177
Q3770,Macro,0.279,0.57,0.122,109.29,0.202
Q4038,Macro,0.007,0.55,0.015,44.64,0.011
Q3957,Macro,0.005,0.57,0.013,35.43,0.014
Q5109,Macro,0.009,3.52,0.056,636.65,0.026
Q11298,Micro,0.157,0.5,0.085,71.10,0.108
Q9597,Micro,0.21,0.5,0.118,94.56,0.231
Q9516,Micro,0.101,0.49,0.161,91.42,0.138
Q9551,Micro,0.056,0.5,0.054,18.82,0.021
Q10414,Micro,0.02,3.72,0.041,220.15,0.016
Q23416,Other,0.02,0.77,0.052,51.40,0.019
Q23410,Other,0.092,0.76,0.076,62.98,0.163
Q23524,Other,0.04,0.56,0.087,77.34,0.029
Q23487,Other,0.017,0.6,0.050,39.19,0.006
Q23661,Other,0.011,7.51,0.084,487.40,0.011